IID	cage
A063368083	64F
A063375850	64F
A063378534	64F
A063521788	64F
A063799614	64F
A064052345	64F
A063618331	64G
A064017595	64G
A066788267	64G
A066825380	64G
A067310594	64G
A063612792	65A
A063618834	65A
A064034869	65A
A064055293	65A
A064079620	65A
A067313019	65A
A063837530	65B
A063867785	65B
A064060327	65B
A064067116	65B
A064095813	65B
A064096308	65B
A063610617	65C
A064011272	65C
A064049623	65C
A067320288	65C
A063775856	65D
A063820535	65D
A063832617	65D
A064021838	65D
A063572073	65E
A064032010	65E
A064041587	65E
A064043567	65E
A063638035	65F
A063819817	65F
A063836584	65F
A064779520	65F
A063772547	65G
A063795281	65G
A063804552	65G
A064018793	65G
A063789585	66A
A063892352	66A
A064002891	66A
A064037338	66A
A063007024	66B
A063377257	66B
A063381303	66B
A063267036	66C
A063350017	66C
A063522330	66C
A063551096	66C
A063556563	66C
A063266797	66D
A063516780	66D
A063549863	66D
A063553007	66D
A063345789	66E
A063347541	66E
A063355573	66E
A063361558	66E
A063380592	66E
A063547877	66E
A063004831	66F
A063341852	66F
A063353878	66F
A063533277	66F
A063534280	66F
A063545810	66F
A063262830	66G
A063796366	66G
A066790013	66G
A066886025	66G
A062882537	68A
A063522882	68A
A063531580	68A
A063535101	68A
A063270100	68B
A063546566	68B
A063521602	68C
A063544096	68C
A063371075	68D
A063383811	68D
A063554022	68D
A063367095	68E
A063515074	68E
A063519591	68E
A063006041	68F
A063126608	68F
A063345605	68F
A063367282	68F
A063541024	68F
A063004568	68G
A063310029	68G
A063342341	68G
A063342593	68G
A063382285	68G
A063618334	68H
A063835002	68H
A063889081	68H
A064049358	68H
A063770277	69A
A063801554	69A
A064000272	69A
A067304522	69A
A063571569	69B
A063820626	69B
A063861561	69B
A064076342	69B
A063874046	69C
A064011604	69C
A064018792	69C
A064054321	69C
A063575829	69D
A063875112	69D
A064080080	69D
A066886308	69D
A063611117	69E
A063798057	69E
A064028563	69E
A064043842	69E
A063600005	69F
A063604845	69F
A063789566	69F
A063602575	69G
A063823314	69G
A063885881	69G
A063895344	69G
A066791380	69G
A063573313	69H
A063864876	69H
A064000044	69H
A064083040	69H
A048017615	6A
A048037297	6A
A048081321	6A
A048084850	6A
A048111832	6A
A048278066	6A
A048280561	6A
A048032629	6B
A048042540	6B
A048071026	6B
A048102058	6B
A048103806	6B
A048114848	6B
A048038629	6C
A048119373	6C
A048262876	6C
A048031885	6D
A048043525	6D
A048043551	6D
A048059361	6D
A048098608	6D
A048273349	6D
A048283568	6D
A048033354	6E
A048058878	6E
A048098800	6E
A048120630	6E
A048277596	6E
A048286619	6E
A048069514	6F
A048079586	6F
A048273303	6F
A063812087	70A
A064000032	70A
A064094852	70A
A067306015	70A
A063576534	70B
A063891605	70B
A064015058	70B
A064063035	70B
A064041360	70C
A064090082	70C
A066889088	70C
A067030768	70C
A066785804	70D
A067021522	70D
A067023636	70D
A067310358	70D
A066809045	70E
A067067814	70E
A067117798	70E
A067256874	70E
A064037815	70F
A064078828	70F
A066790024	70F
A066841802	70F
A064098032	70G
A067088260	70G
A067119082	70G
A067306825	70G
A063768269	70H
A063834324	70H
A064073526	70H
A067302571	70H
A084126634	71A
A084127294	71A
A084285554	71A
A084285633	71A
A084286619	71A
A084291356	71A
A067259573	71B
A084125819	71B
A084127379	71B
A084280066	71B
A084280362	71B
A063635803	71C
A066893828	71C
A067078340	71C
A067306625	71C
A067308778	71C
A064087887	71D
A064610602	71D
A067079580	71D
A067080099	71D
A067300011	71D
A063779516	71E
A066887872	71E
A067026018	71E
A067076637	71E
A067302818	71E
A064087861	71F
A066786115	71F
A066823335	71F
A084126609	72A
A084271826	72A
A084280069	72A
A084287050	72A
A084291628	72A
A084127001	72B
A084271877	72B
A084280063	72B
A084284561	72B
A084126103	72C
A084126295	72C
A084127598	72C
A084271879	72C
A084280614	72C
A084284365	72C
A084285820	72C
A084279591	72D
A084279887	72D
A084285552	72D
A084287053	72D
A067022872	72E
A084271526	72E
A084271579	72E
A084271878	72E
A084280886	72E
A084286550	72E
A063629895	72F
A063883335	72F
A066807536	72F
A067043333	72F
A067119610	72F
A084280842	72F
A063873017	73A
A067078301	73A
A067303813	73A
A084126810	73A
A084286354	73A
A084286378	73A
A084125374	73B
A084126106	73B
A084127030	73B
A084279821	73B
A084126773	73C
A084280051	73C
A084284841	73C
A084291310	73C
A084292044	73C
A084121087	73D
A084271614	73D
A084279626	73D
A084284329	73D
A084127295	73E
A084271851	73E
A084284887	73E
A084285514	73E
A084124622	73F
A084284307	73F
A084286014	73F
A084286785	73F
A084127009	73G
A084271571	73G
A084279523	73G
A084283577	73G
A084123535	74A
A084127029	74A
A084284334	74A
A084285015	74A
A084285862	74A
A084287857	74A
A084282869	74B
A084285001	74B
A084286373	74B
A084290318	74B
A084125599	74C
A084126258	74C
A084126853	74C
A084280071	74C
A084285786	74C
A084285825	74C
A084271822	74D
A084280270	74D
A084286258	74D
A084286885	74D
A084271347	74E
A084286581	74E
A084287026	74E
A084287365	74E
A084126307	74F
A084271558	74F
A084284816	74F
A084286267	74F
A084126857	74G
A084279574	74G
A084284638	74G
A084287030	74G
A084126082	75A
A084126319	75A
A084126369	75A
A084127298	75A
A084280773	75A
A084286771	75A
A084127026	75B
A084127367	75B
A084271874	75B
A084290531	75B
A084271268	75C
A084280797	75C
A084283770	75C
A084286127	75C
A084286519	75C
A084125622	75D
A084256354	75D
A084285880	75D
A084287354	75D
A084291352	75D
A083611550	75E
A084279567	75E
A084281011	75E
A084285328	75E
A083583365	75F
A083583382	75F
A084285629	75F
A084286286	75F
A083559041	75G
A083584019	75G
A083606263	75G
A083611594	75G
A084271258	76A
A084271810	76A
A084280574	76A
A084284577	76A
A084127515	76B
A084279806	76B
A084286071	76B
A084286107	76B
A084126813	76C
A084271110	76C
A084285338	76C
A084287792	76C
A084125534	76D
A084127102	76D
A084127269	76D
A084280274	76D
A084285868	76D
A084286521	76D
A084125319	76E
A084127285	76E
A084271037	76E
A084279851	76E
A084287622	76E
A084287630	76E
A083569317	76F
A083583016	76F
A083609514	76F
A084286526	76F
A083568891	76G
A083583043	76G
A083583048	76G
A083595329	76G
A084271554	77A
A084279638	77A
A084280329	77A
A084280786	77A
A084124895	77B
A084125606	77B
A084285515	77B
A084286862	77B
A084126030	77C
A084126087	77C
A084126121	77C
A084284637	77C
A084126070	77D
A084127262	77D
A084280889	77D
A084284570	77D
A084285114	77D
A084290788	77D
A084126869	77E
A084127055	77E
A084271790	77E
A084285891	77E
A084270527	77F
A084280275	77F
A084280571	77F
A084285109	77F
A083564373	77G
A083565781	77G
A083583091	77G
A083583795	77G
A083609520	77G
A084284533	77G
A083567808	78A
A083568019	78A
A083571015	78A
A083608639	78A
A083583542	78B
A083607895	78B
A084280537	78B
A084126578	78C
A084127365	78C
A084280862	78C
A084284553	78C
A084286271	78C
A084287308	78C
A084284516	78D
A084284551	78D
A084290360	78D
A084127047	78E
A084127065	78E
A084270349	78E
A084270895	78E
A084125831	78F
A084126586	78F
A084270866	78F
A084271098	78F
A084287301	78F
A084289020	78F
A084271374	78G
A084284333	78G
A084285098	78G
A084286265	78G
A084286782	78G
A084289027	78G
A084270593	79A
A084271613	79A
A084280371	79A
A084286867	79A
A084126259	79B
A084270629	79B
A084284857	79B
A084285341	79B
A084127035	79C
A084270338	79C
A084280832	79C
A084281833	79C
A084284886	79C
A084286579	79C
A084124633	79D
A084126878	79D
A084284777	79D
A084284838	79D
A084285095	79D
A084290831	79D
A066806793	79E
A066891579	79E
A067086368	79E
A067092841	79E
A084280287	79E
A084282822	79E
A066848569	79F
A067042288	79F
A067275803	79F
A067296099	79F
A067301616	79F
A084282637	79F
A048031876	7A
A048054885	7A
A048073876	7A
A048124833	7A
A048257860	7A
A048279281	7A
A048069545	7B
A048069568	7B
A048258376	7B
A048274606	7B
A048286594	7B
A048033618	7C
A048034836	7C
A048257784	7C
A048274037	7C
A048278882	7C
A048067529	7D
A048126011	7D
A048272340	7D
A048274015	7D
A048072783	7E
A048073312	7E
A048090850	7E
A048113889	7E
A048125369	7E
A048277878	7E
A048280877	7E
A048063778	7F
A048084313	7F
A048088588	7F
A048256538	7F
A048273281	7F
A048276530	7F
A048054528	7G
A048078073	7G
A048278846	7G
A064087000	80A
A066792340	80A
A067026328	80A
A067087083	80A
A067303847	80A
A066873093	80B
A067029291	80B
A067077564	80B
A067104802	80B
A067295328	80B
A066825627	80C
A066860382	80C
A067004612	80C
A067035071	80C
A067122028	80C
A067099841	80D
A084127286	80D
A084270578	80D
A084271373	80D
A084286625	80D
A084127290	80E
A084127546	80E
A084271577	80E
A084279842	80E
A084280262	80E
A084284540	80E
A084124373	80F
A084279561	80F
A084281887	80F
A084287046	80F
A084288028	80F
A084291611	80F
A084127079	81A
A084127271	81A
A084271536	81A
A084279514	81A
A084282378	81A
A084286518	81A
A084126374	81B
A084279557	81B
A084284360	81B
A084286523	81B
A084271838	81C
A084280829	81C
A084286365	81C
A084287777	81C
A084125270	81D
A084127091	81D
A084270774	81D
A084271372	81D
A084279598	81D
A084285587	81D
A084127033	81E
A084280554	81E
A084280626	81E
A084280627	81E
A084285530	81E
A084286061	81E
A084127010	81F
A084271557	81F
A084280034	81F
A084284769	81F
A084285035	81F
A084286879	81F
A084126549	82A
A084127045	82A
A084279596	82A
A084280038	82A
A084287017	82A
A084125523	82B
A084126126	82B
A084126638	82B
A084280094	82B
A084280601	82B
A084283022	82C
A084285310	82C
A084285634	82C
A084286629	82C
A084291785	82C
A084124302	82D
A084271063	82D
A084284539	82D
A084286350	82D
A084291618	82D
A084126585	82E
A084127110	82E
A084271049	82E
A084280061	82E
A084280536	82E
A084283841	82F
A084285534	82F
A084285799	82F
A084286807	82F
A084286846	82F
A084284848	82G
A084286803	82G
A084286515	83A
A084286610	83A
A084288539	83A
A084291787	83A
A084126850	83B
A084271301	83B
A084282886	83B
A084285850	83B
A084125586	83C
A084270849	83C
A084271009	83C
A084285812	83C
A084127597	83D
A084270373	83D
A084271100	83D
A084271126	83D
A084285591	83D
A084127113	83E
A084271615	83E
A084285809	83E
A084280124	83F
A084280361	83F
A084281018	83F
A084285546	83F
A084286587	83F
A084287320	83F
A084124115	83G
A084126034	83G
A084270587	83G
A084271559	83G
A084280028	83G
A084127067	84A
A084284804	84A
A084285039	84A
A084286806	84A
A084279622	84B
A084280618	84B
A084285787	84B
A084286106	84B
A084126630	84C
A084127041	84C
A084271831	84C
A084281046	84C
A084285327	84C
A084287257	84C
A084127034	84D
A084279770	84D
A084285331	84D
A084286275	84D
A084286374	84D
A084270781	84E
A084280119	84E
A084280285	84E
A084280565	84E
A084287516	84E
A084127094	84F
A084270589	84F
A084280342	84F
A084280619	84F
A084126325	84G
A084126777	84G
A084280534	84G
A084286075	84G
A084126009	85A
A084126577	85A
A084271786	85A
A084284566	85A
A084126554	85B
A084270817	85B
A084280785	85B
A084285798	85B
A084286362	85B
A084286883	85B
A084270617	85C
A084271369	85C
A084284635	85C
A084284823	85C
A084284842	85C
A084127585	85D
A084270590	85D
A084271084	85D
A084280098	85D
A084285886	85D
A084271633	85E
A084280806	85E
A084286598	85E
A084287315	85E
A084124855	85F
A084125547	85F
A084126113	85F
A084127121	85F
A084271039	85F
A084271292	85F
A048033069	8A
A048059602	8A
A048066343	8A
A048070285	8A
A048083517	8A
A048097274	8A
A048038105	8B
A048061864	8B
A048101354	8B
A048263034	8B
A048273784	8B
A048282364	8B
A048060314	8C
A048082329	8C
A048100854	8C
A048256056	8C
A048277613	8C
A048031355	8D
A048059836	8D
A048122076	8D
A048125017	8D
A048038018	8E
A048053604	8E
A048113351	8E
A048283521	8E
A048038542	8F
A048042802	8F
A048094060	8F
A048116560	8F
A048117807	8F
A048112857	8G
A048272809	8G
A048277888	8G
A048279009	8G
A048031300	9A
A048043833	9A
A048057298	9A
A048086059	9A
A048277066	9A
A048278362	9A
A048048604	9B
A048058059	9B
A048092536	9B
A048101360	9B
A048286605	9B
A048035282	9C
A048074106	9C
A048080339	9C
A048111053	9C
A048118531	9C
A048272302	9C
A048272346	9C
A048087277	9D
A048124637	9D
A048261072	9D
A048275888	9D
A048282019	9D
A048283792	9D
A048023355	9E
A048122848	9E
A048127516	9E
A048273584	9E
A048300305	9E
A048013559	9F
A048073633	9F
A048275808	9F
A048055081	9G
A048059120	9G
A048122013	9G
A048127849	9G
A048281893	9G
A048067622	9H
A048083785	9H
A048108796	9H
